__typename,dateString,countryCode,countryName,sectorCode,sectorName,postingType,value
HiringLabSectoralPosting,2020-02-13,US,United States,math,Data & Analytics,NEW,104.16
HiringLabSectoralPosting,2020-02-13,US,United States,project,Project Management,NEW,103.38
HiringLabSectoralPosting,2020-02-13,US,United States,techhelp,"IT Infrastructure, Operations & Support",NEW,98.84
HiringLabSectoralPosting,2020-02-13,US,United States,techinfo,IT Systems & Solutions,NEW,98.05
HiringLabSectoralPosting,2020-02-13,US,United States,techsoftware,Software Development,NEW,105.03
HiringLabSectoralPosting,2020-02-14,US,United States,math,Data & Analytics,NEW,103.48
HiringLabSectoralPosting,2020-02-14,US,United States,project,Project Management,NEW,102.99
HiringLabSectoralPosting,2020-02-14,US,United States,techhelp,"IT Infrastructure, Operations & Support",NEW,98.97
HiringLabSectoralPosting,2020-02-14,US,United States,techinfo,IT Systems & Solutions,NEW,98.12
HiringLabSectoralPosting,2020-02-14,US,United States,techsoftware,Software Development,NEW,104.78
HiringLabSectoralPosting,2020-02-15,US,United States,math,Data & Analytics,NEW,102.7
HiringLabSectoralPosting,2020-02-15,US,United States,project,Project Management,NEW,102.77
HiringLabSectoralPosting,2020-02-15,US,United States,techhelp,"IT Infrastructure, Operations & Support",NEW,99.33
HiringLabSectoralPosting,2020-02-15,US,United States,techinfo,IT Systems & Solutions,NEW,97.98
HiringLabSectoralPosting,2020-02-15,US,United States,techsoftware,Software Development,NEW,104.55
HiringLabSectoralPosting,2020-02-16,US,United States,math,Data & Analytics,NEW,102.28
HiringLabSectoralPosting,2020-02-16,US,United States,project,Project Management,NEW,102.8
HiringLabSectoralPosting,2020-02-16,US,United States,techhelp,"IT Infrastructure, Operations & Support",NEW,99.8
HiringLabSectoralPosting,2020-02-16,US,United States,techinfo,IT Systems & Solutions,NEW,98.34
HiringLabSectoralPosting,2020-02-16,US,United States,techsoftware,Software Development,NEW,105.13
HiringLabSectoralPosting,2020-02-17,US,United States,math,Data & Analytics,NEW,101.58
HiringLabSectoralPosting,2020-02-17,US,United States,project,Project Management,NEW,103.21
HiringLabSectoralPosting,2020-02-17,US,United States,techhelp,"IT Infrastructure, Operations & Support",NEW,100.53
HiringLabSectoralPosting,2020-02-17,US,United States,techinfo,IT Systems & Solutions,NEW,99.04
HiringLabSectoralPosting,2020-02-17,US,United States,techsoftware,Software Development,NEW,105.67
HiringLabSectoralPosting,2020-02-18,US,United States,math,Data & Analytics,NEW,99.95
HiringLabSectoralPosting,2020-02-18,US,United States,project,Project Management,NEW,103.15
HiringLabSectoralPosting,2020-02-18,US,United States,techhelp,"IT Infrastructure, Operations & Support",NEW,100.28
HiringLabSectoralPosting,2020-02-18,US,United States,techinfo,IT Systems & Solutions,NEW,99.02
HiringLabSectoralPosting,2020-02-18,US,United States,techsoftware,Software Development,NEW,105.75
HiringLabSectoralPosting,2020-02-19,US,United States,math,Data & Analytics,NEW,98.73
HiringLabSectoralPosting,2020-02-19,US,United States,project,Project Management,NEW,103.23
HiringLabSectoralPosting,2020-02-19,US,United States,techhelp,"IT Infrastructure, Operations & Support",NEW,99.83
HiringLabSectoralPosting,2020-02-19,US,United States,techinfo,IT Systems & Solutions,NEW,99.01
HiringLabSectoralPosting,2020-02-19,US,United States,techsoftware,Software Development,NEW,105.43
HiringLabSectoralPosting,2020-02-20,US,United States,math,Data & Analytics,NEW,98.06
HiringLabSectoralPosting,2020-02-20,US,United States,project,Project Management,NEW,103.31
HiringLabSectoralPosting,2020-02-20,US,United States,techhelp,"IT Infrastructure, Operations & Support",NEW,99.96
HiringLabSectoralPosting,2020-02-20,US,United States,techinfo,IT Systems & Solutions,NEW,98.88
HiringLabSectoralPosting,2020-02-20,US,United States,techsoftware,Software Development,NEW,105.33
HiringLabSectoralPosting,2020-02-21,US,United States,math,Data & Analytics,NEW,98.24
HiringLabSectoralPosting,2020-02-21,US,United States,project,Project Management,NEW,103.68
HiringLabSectoralPosting,2020-02-21,US,United States,techhelp,"IT Infrastructure, Operations & Support",NEW,100.45
HiringLabSectoralPosting,2020-02-21,US,United States,techinfo,IT Systems & Solutions,NEW,98.76
HiringLabSectoralPosting,2020-02-21,US,United States,techsoftware,Software Development,NEW,105.81
HiringLabSectoralPosting,2020-02-22,US,United States,math,Data & Analytics,NEW,98.72
HiringLabSectoralPosting,2020-02-22,US,United States,project,Project Management,NEW,103.65
HiringLabSectoralPosting,2020-02-22,US,United States,techhelp,"IT Infrastructure, Operations & Support",NEW,100.55
HiringLabSectoralPosting,2020-02-22,US,United States,techinfo,IT Systems & Solutions,NEW,98.69
HiringLabSectoralPosting,2020-02-22,US,United States,techsoftware,Software Development,NEW,105.97
HiringLabSectoralPosting,2020-02-23,US,United States,math,Data & Analytics,NEW,98.56
